Layer,Domain Entity,File Path,File Purpose,Key Pattern,Dependencies,Extends/Conforms,Concurrency,Complexity,Notes
Model-Abstraction,Cross-cutting,swift/Sources/Models/Abstractions/Protocols.swift,"Trait-based protocol hierarchy for domain model layers","Protocol composition (DomainAbstraction, DomainBasic, DomainComposit)","Foundation, SQLiteData","Identifiable, Documentable, Timestamped",None,Simple,"Core abstraction defining 3-layer architecture"
Model-Abstraction,Action,swift/Sources/Models/Abstractions/Action.swift,"Past-oriented record of completed actions with timing","@Table DomainAbstraction","Foundation, SQLiteData","DomainAbstraction",Sendable,Simple,"Full metadata entity with measurements in junction table"
Model-Abstraction,Expectation,swift/Sources/Models/Abstractions/Expectation.swift,"Base entity for goals/milestones/obligations (table inheritance)","@Table DomainAbstraction","Foundation, SQLiteData","DomainAbstraction",Sendable,Medium,"Table inheritance base with ExpectationType enum"
Model-Abstraction,Measure,swift/Sources/Models/Abstractions/Measure.swift,"Catalog of measurement units with conversion","@Table DomainAbstraction","Foundation, SQLiteData","DomainAbstraction",Sendable,Simple,"3NF normalized measure catalog with static defaults"
Model-Abstraction,PersonalValue,swift/Sources/Models/Abstractions/PersonalValue.swift,"Unified values and life areas with priority","@Table DomainAbstraction with ValueLevel enum","Foundation, SQLiteData","DomainAbstraction",Sendable,Simple,"Replaces 4 separate value tables with single table + enum"
Model-Abstraction,TimePeriod,swift/Sources/Models/Abstractions/TimePeriod.swift,"Pure chronological boundaries without planning semantics","@Table DomainAbstraction","Foundation, SQLiteData","DomainAbstraction",Sendable,Simple,"Temporal container referenced by GoalTerm"
Model-Basic,Goal,swift/Sources/Models/Basics/Goal.swift,"Expectation subtype with date ranges and action plans","@Table DomainBasic","Foundation, SQLiteData","DomainBasic",Sendable,Simple,"FK to Expectation, targets in ExpectationMeasure"
Model-Basic,Milestone,swift/Sources/Models/Basics/Milestone.swift,"Expectation subtype for point-in-time checkpoints","@Table DomainBasic","Foundation, SQLiteData","DomainBasic",Sendable,Simple,"FK to Expectation, single targetDate"
Model-Basic,Obligation,swift/Sources/Models/Basics/Obligation.swift,"Expectation subtype for external commitments","@Table DomainBasic","Foundation, SQLiteData","DomainBasic",Sendable,Simple,"FK to Expectation, deadline + requestedBy"
Model-Basic,Term,swift/Sources/Models/Basics/Term.swift,"Goal planning scaffold with state and reflection","@Table DomainBasic with TermStatus enum","Foundation, SQLiteData","DomainBasic",Sendable,Medium,"References TimePeriod, has planning semantics"
Model-Basic,Expectation,swift/Sources/Models/Basics/ExpectationMeasure.swift,"Junction for expectation metric targets","@Table DomainBasic","Foundation, SQLiteData","DomainBasic",Sendable,Simple,"Links Expectation to Measure with targetValue"
Model-Composit,Action-Goal,swift/Sources/Models/Composits/ActionGoalContribution.swift,"Junction tracking action contributions to goals","@Table DomainComposit","Foundation, SQLiteData","DomainComposit",Sendable,Simple,"Contribution amount + optional measureId"
Model-Composit,Goal-Value,swift/Sources/Models/Composits/GoalRelevance.swift,"Junction linking goals to values with alignment strength","@Table DomainComposit","Foundation, SQLiteData","DomainComposit",Sendable,Simple,"Alignment metadata + strength (1-10)"
Model-Composit,Action-Measure,swift/Sources/Models/Composits/MeasuredAction.swift,"Junction linking actions to measurements","@Table DomainComposit","Foundation, SQLiteData","DomainComposit",Sendable,Simple,"Value + createdAt, replaces JSON measuresByUnit"
Model-Composit,Term-Goal,swift/Sources/Models/Composits/TermGoalAssignment.swift,"Junction for term-goal assignments","@Table DomainComposit","Foundation, SQLiteData","DomainComposit",Sendable,Simple,"Assignment order + createdAt"
