Layer,Domain Entity,File Path,File Purpose,Key Pattern,Dependencies,Extends/Conforms,Concurrency,Complexity,Notes
Coordinator,Action,swift/Sources/Services/Coordinators/ActionCoordinator.swift,Coordinates creation of Action entities with measurements and goal contributions,Sendable Coordinator,"Dependencies, Models, SQLiteData",Sendable,Sendable,Medium,
Coordinator,Goal,swift/Sources/Services/Coordinators/GoalCoordinator.swift,Coordinates creation of Goal entities with full relationship graph,Sendable Coordinator,"Dependencies, Models, SQLiteData",Sendable,Sendable,Complex,
Coordinator,Measure,swift/Sources/Services/Coordinators/MeasureCoordinator.swift,Coordinate Measure entity persistence with duplicate prevention,Sendable Coordinator,"Dependencies, Models, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Coordinator,Measure,swift/Sources/Services/Coordinators/MeasureDeduplicationCoordinator.swift,One-off utility for merging duplicate measures,Sendable Coordinator,"Dependencies, Models, SQLiteData","Sendable, Identifiable, Sendable, Sendable",Sendable,Medium,
Coordinator,Milestone,swift/Sources/Services/Coordinators/MilestoneCoordinator.swift,Coordinates creation of Milestone entities with atomic persistence,Sendable Coordinator,"Models, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Coordinator,Obligation,swift/Sources/Services/Coordinators/ObligationCoordinator.swift,Coordinates creation of Obligation entities with atomic persistence,Sendable Coordinator,"Models, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Coordinator,PersonalValue,swift/Sources/Services/Coordinators/PersonalValueCoordinator.swift,Coordinates creation of PersonalValue entities with atomic persistence.,Sendable Coordinator,"Dependencies, Models, SQLiteData",Sendable,Sendable + @MainActor,Medium,
Coordinator,TimePeriod,swift/Sources/Services/Coordinators/TimePeriodCoordinator.swift,"Coordinates creation of TimePeriod entities with specializations (GoalTerm, Year, etc.)",Sendable Coordinator,"Models, SQLiteData",Sendable,Sendable,Medium,
Coordinator-FormData,Action,swift/Sources/Services/Coordinators/FormData/ActionFormData.swift,// Input DTO for ActionCoordinator. Holds form state and validates before persistence.,Sendable Coordinator,Models,"Sendable, Identifiable, Sendable",Sendable,Simple,
Coordinator-FormData,Expectation,swift/Sources/Services/Coordinators/FormData/ExpectationFormDataBase.swift,"Protocol for shared expectation fields across Goal, Milestone, Obligation FormData",,,ExpectationFormDataBase,Sendable,Simple,
Coordinator-FormData,Goal,swift/Sources/Services/Coordinators/FormData/GoalFormData.swift,Input DTO for GoalCoordinator,,Models,"ExpectationFormDataBase, Sendable",None,Simple,
Coordinator-FormData,Measure,swift/Sources/Services/Coordinators/FormData/ExpectationMeasureFormData.swift,Form data for ExpectationMeasure creation (goal metric targets),,,"Identifiable, Sendable",None,Simple,
Coordinator-FormData,Measure,swift/Sources/Services/Coordinators/FormData/MeasureFormData.swift,Form data for Measure creation and editing.,Sendable Coordinator,Models,Sendable,Sendable,Simple,
Coordinator-FormData,Milestone,swift/Sources/Services/Coordinators/FormData/MilestoneFormData.swift,Input DTO for MilestoneCoordinator,,Models,"ExpectationFormDataBase, Sendable",None,Simple,
Coordinator-FormData,Obligation,swift/Sources/Services/Coordinators/FormData/ObligationFormData.swift,Input DTO for ObligationCoordinator,,Models,"ExpectationFormDataBase, Sendable",None,Simple,
Coordinator-FormData,PersonalValue,swift/Sources/Services/Coordinators/FormData/PersonalValueFormData.swift,Form data for PersonalValue creation and editing.,Sendable Coordinator,Models,Sendable,Sendable,Simple,
Coordinator-FormData,PersonalValue,swift/Sources/Services/Coordinators/FormData/ValueAlignmentInput.swift,Helper struct for value alignment input in goal forms,,,"Identifiable, Sendable",None,Simple,
Coordinator-FormData,TimePeriod,swift/Sources/Services/Coordinators/FormData/TimePeriodFormData.swift,Form data structure for creating TimePeriod entities with specializations,,Models,"Sendable, Sendable",Sendable,Simple,
Database,Cross-cutting,swift/Sources/Database/CloudKitManualSync.swift,Manual CloudKit fetch when SQLiteData doesn't expose it,,CloudKit,LocalizedError,None,Simple,
Database,Cross-cutting,swift/Sources/Database/DatabaseBootstrap.swift,Database configuration mode,,"GRDB, Models, SQLiteData",Error,None,Simple,
Database,Cross-cutting,swift/Sources/Database/SyncConfiguration.swift,Configuration for CloudKit sync,,"GRDB, Models, SQLiteData",,None,Simple,
Model-Abstraction,Action,swift/Sources/Models/Abstractions/Action.swift,"An action taken at a point in time, with optional timing",@Table,SQLiteData,DomainAbstraction,@MainActor,Simple,
Model-Abstraction,Cross-cutting,swift/Sources/Models/Abstractions/Protocols.swift,All database entities must conform to Swift's Identifiable with UUID,@Table,SQLiteData,"Abstract, Basic, Composit",None,Simple,
Model-Abstraction,Expectation,swift/Sources/Models/Abstractions/Expectation.swift,Classification of expectation types,@Table,SQLiteData,"String, Codable, CaseIterable, Sendable, QueryRepresentable,
    QueryBindable, DomainAbstraction",None,Medium,
Model-Abstraction,Measure,swift/Sources/Models/Abstractions/Measure.swift,Catalog entry for a unit of measurement,@Table,SQLiteData,DomainAbstraction,None,Medium,
Model-Abstraction,PersonalValue,swift/Sources/Models/Abstractions/PersonalValue.swift,Classification of value types,@Table,SQLiteData,"String, Codable, CaseIterable, Sendable, QueryRepresentable, QueryBindable, DomainAbstraction",None,Medium,
Model-Abstraction,TimePeriod,swift/Sources/Models/Abstractions/TimePeriod.swift,// Represents pure time spans (start → end) without goal planning semantics.,@Table,SQLiteData,DomainAbstraction,None,Simple,
Model-Basic,Goal,swift/Sources/Models/Basics/Goal.swift,Goal subtype - objectives with date ranges and action plans,@Table,SQLiteData,DomainBasic,None,Simple,
Model-Basic,Measure,swift/Sources/Models/Basics/ExpectationMeasure.swift,Links an expectation to a metric with a target value,@Table,SQLiteData,DomainBasic,None,Simple,
Model-Basic,Milestone,swift/Sources/Models/Basics/Milestone.swift,Milestone subtype - point-in-time checkpoint,@Table,SQLiteData,DomainBasic,None,Simple,
Model-Basic,Obligation,swift/Sources/Models/Basics/Obligation.swift,Obligation subtype - external commitment or requirement,@Table,SQLiteData,DomainBasic,None,Simple,
Model-Basic,TimePeriod,swift/Sources/Models/Basics/Term.swift,Status of a goal planning term,@Table,SQLiteData,"String, Codable, CaseIterable, Sendable, QueryRepresentable, QueryBindable, DomainBasic",None,Simple,
Model-Composit,Action,swift/Sources/Models/Composits/MeasuredAction.swift,Links an action to a metric with a measured value,@Table,SQLiteData,DomainComposit,None,Simple,
Model-Composit,Goal,swift/Sources/Models/Composits/ActionGoalContribution.swift,Tracks how an action contributes to a goal's progress,@Table,SQLiteData,DomainComposit,None,Simple,
Model-Composit,Goal,swift/Sources/Models/Composits/GoalRelevance.swift,Links a goal to a value it serves or aligns with,@Table,SQLiteData,DomainComposit,None,Simple,
Model-Composit,Goal,swift/Sources/Models/Composits/TermGoalAssignment.swift,Junction table record for term-goal assignments,@Table,SQLiteData,DomainComposit,None,Simple,
Model-DataType,Action,swift/Sources/Models/DataTypes/ActionData.swift,// Canonical data type for Actions - serves both display and export needs.,,,"Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable",None,Simple,
Model-DataType,Cross-cutting,swift/Sources/Models/DataTypes/ProgressData.swift,Canonical data types for progress tracking across all Expectation types,,,"String, Codable, Sendable, CaseIterable, String, Codable, Sendable, CaseIterable, String, Codable, Sendable, CaseIterable, String, Codable, Sendable, CaseIterable, String, Codable, Sendable, CaseIterable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable",Sendable,Complex,
Model-DataType,Goal,swift/Sources/Models/DataTypes/GoalData.swift,// Canonical goal data structure that serves both display and export needs.,,,"Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable, Identifiable, Hashable, Sendable, Codable",None,Medium,
Model-DataType,Measure,swift/Sources/Models/DataTypes/MeasureData.swift,// Canonical measure data structure that serves both display and export needs.,,,"Identifiable, Hashable, Sendable, Codable",None,Simple,
Model-DataType,PersonalValue,swift/Sources/Models/DataTypes/PersonalValueData.swift,// Canonical personal value data structure that serves both display and export needs.,,,"Identifiable, Hashable, Sendable, Codable",None,Simple,
Model-DataType,TimePeriod,swift/Sources/Models/DataTypes/TimePeriodData.swift,// Canonical data type for TimePeriods with GoalTerm planning semantics.,,,"Identifiable, Hashable, Sendable, Codable",None,Simple,
Model-Deduplication,Cross-cutting,swift/Sources/Models/Deduplication/DuplicateCandidate.swift,Represents a potential duplicate entity pair requiring user review,@Table,SQLiteData,"DomainComposit, String, Codable, Sendable, QueryRepresentable, QueryBindable, String, Codable, Sendable, QueryRepresentable, QueryBindable, String, Codable, Sendable, QueryRepresentable, QueryBindable, String, Codable, Sendable, QueryRepresentable, QueryBindable",None,Medium,
Model-Deduplication,Cross-cutting,swift/Sources/Models/Deduplication/EntitySignature.swift,Precomputed MinHash signature for an entity,@Table,SQLiteData,DomainComposit,None,Simple,
Model-Semantic,Cross-cutting,swift/Sources/Models/SemanticTypes/AlignmentMatrix.swift,// Structured container for goal-value alignment heatmap data.,,Models,"Sendable, Identifiable, Hashable, Sendable, String, Sendable, CaseIterable, Sendable",Sendable,Medium,
Model-Semantic,Semantic,swift/Sources/Models/SemanticTypes/EmbeddingCacheEntry.swift,Cached semantic embedding for an entity,@Table,SQLiteData,"Sendable, Identifiable",Sendable,Simple,
Model-Semantic,Semantic,swift/Sources/Models/SemanticTypes/EmbeddingVector.swift,Errors for embedding vector operations,,,"LocalizedError, Sendable, Sendable, Equatable, Hashable",Sendable,Simple,
Model-Semantic,Semantic,swift/Sources/Models/SemanticTypes/SemanticConfiguration.swift,Configuration for semantic similarity and search operations,,,Sendable,Sendable,Simple,
Repository,Action,swift/Sources/Services/Repositories/ActionRepository.swift,// Repository for Action entities using canonical ActionData type.,BaseRepository<ActionData>,"GRDB, Models, SQLiteData","BaseRepository<ActionData>, Decodable, FetchableRecord, Sendable, Decodable, Sendable, Decodable, Sendable",@unchecked Sendable,Complex,
Repository,Cross-cutting,swift/Sources/Services/Repositories/ConversationRepository.swift,Repository for managing LLM conversation data,,"GRDB, SQLiteData","Sendable, String, Sendable, CaseIterable, String, Sendable, String, Sendable, Sendable, Identifiable, Sendable, Identifiable, Sendable",Sendable,Complex,
Repository,Goal,swift/Sources/Services/Repositories/GoalRepository.swift,// Repository for Goal entities using canonical GoalData type.,BaseRepository<GoalData>,"GRDB, Models, SQLiteData","BaseRepository<GoalData>, Decodable, FetchableRecord, Sendable, Decodable, Sendable, Decodable, Sendable, Decodable, Sendable",@unchecked Sendable,Complex,
Repository,Measure,swift/Sources/Services/Repositories/MeasureRepository.swift,// Repository for Measure entities using canonical MeasureData type.,BaseRepository<MeasureData>,"GRDB, Models, SQLiteData","BaseRepository<MeasureData>, Decodable, FetchableRecord, Sendable",@unchecked Sendable,Medium,
Repository,Milestone,swift/Sources/Services/Repositories/MilestoneRepository.swift,Repository for Milestone entities,BaseRepository,"GRDB, Models, SQLiteData","Sendable, Decodable, FetchableRecord, Identifiable, Hashable, Sendable",Sendable,Medium,
